Termék neve;Kiszerelés neve;TK szám;Hatóanyag;Forg Eng Jog;ATC kód;A hiány kezdete;A hiány tervezett vége;A hiány oka;Javaslat a hiánykészítmény pótlására;
"5-FLUOROURACIL SANDOZ  50 mg/ml koncentrátum oldatos infúzióhoz";"1 X 100 ml injekciós üvegben";"OGYI-T-07514/10";"fluorouracil";"Sandoz Hungária Kft.";"L01BC02";"2022-04-22 00:00:00";"2023-06-30 00:00:00";"Piaci megfontolások";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"5-FLUOROURACIL SANDOZ  50 mg/ml koncentrátum oldatos infúzióhoz";"1 X 20 ml injekciós üvegben";"OGYI-T-07514/09";"fluorouracil";"Sandoz Hungária Kft.";"L01BC02";"2022-04-21 00:00:00";"2023-06-30 00:00:00";"Piaci megfontolások";"Egyedi import";
"ABELCET 5 mg/ml szuszpenziós infúzió";"10 X 20 ml injekciós üvegben";"OGYI-T-06918/01";"amphotericin B";"Teva Gyógyszergyár Zrt.";"J02AA01";"2022-02-09 00:00:00";"2023-05-15 00:00:00";"Hatóanyag, vagy egyéb alapanyag ellátási probléma";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"ACC 20 mg/ml belsõleges oldat";"1 X 200 ml üvegben";"OGYI-T-02021/15";"acetylcysteine";"Sandoz Hungária Kft.";"R05CB01";"2018-09-04 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"ACC 200 mg pezsgõtabletta";"20 X   - tasakban";"OGYI-T-02021/09";"acetylcysteine";"Sandoz Hungária Kft.";"R05CB01";"2022-10-18 00:00:00";"2023-02-15 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"ACC INSTANT 600 mg belsõleges por";"10 X   - tasakban";"OGYI-T-02021/19";"acetylcysteine";"Sandoz Hungária Kft.";"R05CB01";"2021-05-06 00:00:00";"2021-12-31 00:00:00";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"ACC INSTANT 600 mg belsõleges por";"10 X   - tasakban";"OGYI-T-02021/19";"acetylcysteine";"Sandoz Hungária Kft.";"R05CB01";"2022-12-21 00:00:00";"";"Piaci megfontolások";"Azonos hatóanyag más gyógyszerformában elérhetõ";
"ACC LONG 600 mg pezsgõtabletta";"12 X   - tasakban";"OGYI-T-02021/22";"acetylcysteine";"Sandoz Hungária Kft.";"R05CB01";"2021-09-30 00:00:00";"2021-12-31 00:00:00";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"ACCUPRO  5 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-04163/01";"quinapril";"Pfizer Kft.";"C09AA06";"2022-04-20 00:00:00";"";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ACCUPRO 10 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-04163/02";"quinapril";"Pfizer Kft.";"C09AA06";"2022-04-20 00:00:00";"";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ACCUPRO 20 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-04163/03";"quinapril";"Pfizer Kft.";"C09AA06";"2022-04-20 00:00:00";"";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ACCUZIDE 10 mg/12,5 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-07968/01";"quinapril;hydrochlorothiazide";"Pfizer Kft.";"C09BA06";"2022-03-08 00:00:00";"";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ACCUZIDE 20 mg/12,5 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-07968/04";"quinapril;hydrochlorothiazide";"Pfizer Kft.";"C09BA06";"2022-03-08 00:00:00";"";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ACIDA 20 mg gyomornedv-ellenálló tabletta";"7 X   - buborékcsomagolásban";"OGYI-T-21209/01";"pantoprazole";"Zentiva, k.s. (Csehország)";"A02BC02";"2014-02-19 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"ACIDO-GIT MAALOX belsõleges szuszpenzió tasakban";"20 X 4.3 ml tasakban";"OGYI-T-05908/05";"aluminium oxide, hydrated;magnesium hydroxide";"Opella Healthcare Commercial Kft.";"A02AD01";"2020-02-06 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ACLOTIN 250 mg filmtabletta";"20 X   - buborékcsomagolásban";"OGYI-T-09235/01";"ticlopidine";"Bausch Health Ireland Ltd.";"B01AC05";"2013-05-20 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"ACTIVAL EXTRA MAGNÉZIUM filmtabletta";"30 X   - HDPE tartályban";"OGYI-T-23230/01";"vitamins;minerals";"BÉRES Gyógyszergyár Zrt.";"A11AA03";"2021-01-01 00:00:00";"";"Piaci megfontolások";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"ACTIVAL EXTRA filmtabletta";"90 X   - HDPE tartályban";"OGYI-T-09416/03";"vitamins;minerals";"BÉRES Gyógyszergyár Zrt.";"A11AA03";"2019-03-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"ACTIVAL EXTRA filmtabletta";"90x+30 X   - HDPE tartályban";"OGYI-T-09416/07";"vitamins;minerals";"BÉRES Gyógyszergyár Zrt.";"A11AA03";"2019-09-19 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"ACTIVAL SENIOR filmtabletta";"60 X   - HDPE tartályban";"OGYI-T-09417/02";"vitamins;minerals";"BÉRES Gyógyszergyár Zrt.";"A11AA03";"2019-09-19 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ACTONEL 35 mg filmtabletta";"4 X   - átlátszó buborékcsomagolásban";"OGYI-T-08738/01";"risedronic acid";"Theramex Ireland Ltd.";"M05BA07";"2014-04-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"ADACEL POLIO szuszpenziós injekció elõretöltött fecskendõben";"1 X 0.5 ml elõretöltött fecskendõben";"OGYI-T-23632/01";"Diphtheria toxoid;Tetanus toxoid;filamentous haemagglutinin;Pertussis Vaccine (Acellular, Component, Adsorbed);Poliomyelitis Vaccines, inactivated, type 1;Poliomyelitis Vaccines, inactivated, type 2;Poliovirus (inactivated) type 3 (Saukett strain)";"Sanofi Pasteur";"J07CA02";"2023-02-06 00:00:00";"2023-04-15 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ADALAT GITS 30 mg retard filmtabletta";"28 X   - buborékcsomagolásban";"OGYI-T-06196/01";"nifedipine";"Bayer AG";"C08CA05";"2018-10-02 00:00:00";"";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"ADALAT GITS 30 mg retard filmtabletta";"28 X   - buborékcsomagolásban";"OGYI-T-06196/04";"nifedipine";"Bayer AG";"C08CA05";"2021-05-19 00:00:00";"2021-07-01 00:00:00";"Adminisztratív okok";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"ADIMET XR  750 mg retard tabletta";"30 X   - buborékcsomagolásban";"OGYI-T-23485/03";"metformin hydrochloride";"Teva B.V.";"A10BA02";"2022-12-13 00:00:00";"2023-03-10 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"ADIMET XR 1000 mg retard tabletta";"30 X   - buborékcsomagolásban";"OGYI-T-23485/05";"metformin hydrochloride";"Teva B.V.";"A10BA02";"2023-01-13 00:00:00";"2023-04-21 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"AERRANE folyadék inhalációs gõz képzéséhez";"6 X 100 ml üvegben";"OGYI-T-08993/03";"isoflurane";"Baxter (Hungary) Kft.";"N01AB06";"2023-01-20 00:00:00";"2023-02-13 00:00:00";"Gyártási gond";"Egyedi import";
"AFRIN COMFORT MENTOLLAL 0,5 mg/ml oldatos orrspray";"1 X 15 ml HDPE tartályban";"OGYI-T-22099/02";"oxymetazoline";"Bayer Hungária Kft.";"R01AA05";"2022-07-14 00:00:00";"2022-11-07 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"AFRIN COMFORT MENTOLLAL 0,5 mg/ml oldatos orrspray";"1 X 15 ml HDPE tartályban";"OGYI-T-22099/02";"oxymetazoline";"Bayer Hungária Kft.";"R01AA05";"2023-01-17 00:00:00";"2023-03-24 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"AKTIL DUO 400 mg/57 mg/5 ml por belsõleges szuszpenzióhoz";"1 X 11.0 g üvegben";"OGYI-T-05063/06";"amoxicillin;clavulanic acid";"Sandoz Hungária Kft.";"J01CR02";"2021-12-11 00:00:00";"2022-04-30 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"AKTIL DUO 400 mg/57 mg/5 ml por belsõleges szuszpenzióhoz";"1 X 11.0 g üvegben";"OGYI-T-05063/06";"amoxicillin;clavulanic acid";"Sandoz Hungária Kft.";"J01CR02";"2022-10-04 00:00:00";"2023-04-07 00:00:00";"Megnövekedett igény";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"AKTIL DUO 400 mg/57 mg/5 ml por belsõleges szuszpenzióhoz";"1 X 5.70 g üvegben";"OGYI-T-05063/05";"amoxicillin;clavulanic acid";"Sandoz Hungária Kft.";"J01CR02";"2023-02-28 00:00:00";"2023-03-29 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"ALBUMON 30 mg készlet radioaktív gyógyszerkészítményhez";"6 X   - injekciós üvegben";"OGYI-T-23147/01";"human albumin solution";"Medi-Radiopharma Kft.";"V09GA04";"2022-08-09 00:00:00";"2023-09-01 00:00:00";"Piaci megfontolások";"Egyedi import";
"ALBUREX  50 g/l oldatos infúzió";"1 X 100 ml palackban";"OGYI-T-21272/01";"human albumin solution";"CSL Behring GmbH";"B05AA01";"2021-10-27 00:00:00";"2022-07-30 00:00:00";"Hatóanyag, vagy egyéb alapanyag ellátási probléma";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"ALBUREX  50 g/l oldatos infúzió";"1 X 250 ml palackban";"OGYI-T-21272/02";"human albumin solution";"CSL Behring GmbH";"B05AA01";"2021-10-27 00:00:00";"2022-07-30 00:00:00";"Hatóanyag, vagy egyéb alapanyag ellátási probléma";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"ALBUREX  50 g/l oldatos infúzió";"1 X 500 ml palackban";"OGYI-T-21272/03";"human albumin solution";"CSL Behring GmbH";"B05AA01";"2023-03-06 00:00:00";"2023-07-01 00:00:00";"Megnövekedett igény";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALBUREX 200 g/l oldatos infúzió";"1 X 100 ml palackban";"OGYI-T-21272/05";"human albumin solution";"CSL Behring GmbH";"B05AA01";"2023-02-20 00:00:00";"2023-06-01 00:00:00";"Megnövekedett igény";"Egyedi import";
"ALBUREX 200 g/l oldatos infúzió";"1 X 50 ml palackban";"OGYI-T-21272/04";"human albumin solution";"CSL Behring GmbH";"B05AA01";"2023-03-06 00:00:00";"2023-07-01 00:00:00";"Megnövekedett igény";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
